[mass=10.0;maxForwardSpeed=10.0;maxBackwardSpeed=0.0;turnRange=0.349066;brakePower=0.3;enginePower=0.2;steeringPower=0.2]
1;0;0.02;7.806902;0.0;2.417675;
1;0;0.04;7.798902;0.0;2.417675;
1;0;0.06;7.786902;0.0;2.417675;
1;0;0.08;7.770902;0.0;2.417675;
1;0;0.1;7.750902;0.0;2.417675;
1;0;0.12;7.726902;0.0;2.417675;
1;0;0.14;7.698902;0.0;2.417675;
1;0;0.16;7.666902;0.0;2.417675;
1;0;0.18;7.630902;0.0;2.417675;
1;0;0.2;7.590902;0.0;2.417675;
1;0;0.22;7.546902;0.0;2.417675;
1;0;0.24;7.498902;0.0;2.417675;
1;0;0.26;7.446902;0.0;2.417675;
1;0;0.28;7.390902;0.0;2.417675;
1;0;0.3;7.330902;0.0;2.417675;
1;0;0.32;7.266902;0.0;2.417675;
1;0;0.34;7.198902;0.0;2.417675;
1;0;0.36;7.126902;0.0;2.417675;
1;0;0.38;7.050902;0.0;2.417675;
1;0;0.4;6.970902;0.0;2.417675;
1;0;0.42;6.886902;0.0;2.417675;
1;0;0.44;6.798902;0.0;2.417675;
1;0;0.46;6.706902;0.0;2.417675;
1;0;0.48;6.610902;0.0;2.417675;
1;0;0.5;6.510902;0.0;2.417675;
1;0;0.52;6.406902;0.0;2.417675;
1;0;0.54;6.298902;0.0;2.417675;
1;0;0.56;6.186902;0.0;2.417675;
1;0;0.58;6.070902;-0.0;2.417675;
1;0;0.6;5.950902;-0.0;2.417675;
1;0;0.62;5.826902;-0.0;2.417675;
1;0;0.64;5.698902;-0.0;2.417675;
1;0;0.66;5.566902;-0.0;2.417675;
1;0;0.68;5.430902;-0.0;2.417675;
1;0;0.7;5.290902;-0.0;2.417675;
1;0;0.72;5.146902;-0.0;2.417675;
1;0;0.74;4.998902;-0.0;2.417675;
1;0;0.76;4.846902;-0.0;2.417675;
1;0;0.78;4.690902;-0.0;2.417675;
1;0;0.8;4.530902;-0.0;2.417675;
1;0;0.82;4.366902;-0.0;2.417675;
1;0;0.84;4.198902;-0.0;2.417675;
1;0;0.86;4.026902;-0.0;2.417675;
1;0;0.88;3.850902;-0.0;2.417675;
1;0;0.9;3.670902;-0.0;2.417675;
1;0;0.92;3.486902;-0.0;2.417675;
1;0;0.94;3.298902;-0.0;2.417675;
1;0;0.96;3.106902;-0.0;2.417675;
1;0;0.98;2.910902;-0.0;2.417675;
1;0;1.0;2.710902;-0.0;2.417675;
1;0;1.0;2.510902;-0.0;2.417675;
1;0;1.0;2.310902;-0.0;2.417675;
1;0;1.0;2.110902;-0.0;2.417675;
1;0;1.0;1.910902;-0.0;2.417675;
1;0;1.0;1.710902;-0.0;2.417675;
1;0;1.0;1.510902;-0.0;2.417675;
1;0;1.0;1.310902;-0.0;2.417675;
1;-1;1.0;1.110908;0.007643;2.417014;
1;-1;1.0;0.910959;0.023866;2.414753;
1;-1;1.0;0.711183;0.050046;2.409517;
1;-1;1.0;0.511871;0.088276;2.399213;
1;-1;1.0;0.313617;0.14189;2.380504;
1;-1;1.0;0.117582;0.216488;2.347795;
1;-1;1.0;8.447442;-0.454701;-1.035316;
1;-1;1.0;8.263776;-0.407345;-1.026821;
1;-1;1.0;8.076854;-0.352332;-1.019002;
1;-1;1.0;7.887269;-0.289603;-1.011918;
1;-1;1.0;7.695898;-0.219075;-1.005651;
1;-1;1.0;7.503928;-0.140645;-1.000306;
1;-1;1.0;7.312872;-0.054182;-0.996011;
1;0;1.0;7.118722;-0.057515;-0.992679;
1;0;1.0;6.921391;-0.059818;-0.990376;
1;0;1.0;6.721758;-0.061366;-0.988827;
1;0;1.0;6.522144;-0.062997;-0.987197;
1;-1;1.0;6.322467;-0.057544;-0.985668;
1;-1;1.0;6.122662;-0.044805;-0.984444;
1;-1;1.0;5.92272;-0.024551;-0.983755;
1;-1;1.0;5.722722;0.003475;-0.983855;
1;-1;1.0;5.522873;0.039558;-0.985032;
1;-1;1.0;5.323557;0.084019;-0.987605;
1;-1;1.0;5.125378;0.137215;-0.991931;
1;-1;1.0;4.929218;0.199537;-0.998403;
1;0;1.0;4.733323;0.206452;-1.005318;
1;0;1.0;4.537722;0.213855;-1.012721;
1;0;1.0;4.342447;0.2218;-1.020666;
1;0;1.0;4.147534;0.230348;-1.029214;
1;0;1.0;3.953027;0.239567;-1.038433;
1;0;1.0;3.758976;0.249539;-1.048405;
1;0;1.0;3.565438;0.260358;-1.059224;
1;0;1.0;3.372481;0.272133;-1.070999;
1;0;1.0;3.180187;0.284993;-1.083859;
1;0;1.0;2.988651;0.299091;-1.097958;
1;0;1.0;2.797987;0.314608;-1.113474;
1;0;1.0;2.608334;0.331761;-1.130627;
1;1;1.0;2.419386;0.343445;-1.149292;
1;1;1.0;2.230792;0.349513;-1.169323;
0;1;1.0;2.042175;0.349785;-1.190539;
0;1;1.0;1.853147;0.344035;-1.212715;
0;1;1.0;1.663322;0.331977;-1.235562;
-1;1;0.97;1.478037;0.312252;-1.257941;
-1;1;0.94;1.296965;0.284392;-1.279612;
-1;1;0.91;1.11997;0.247861;-1.300284;
-1;1;0.88;0.947133;0.202013;-1.319572;
-1;1;0.85;0.77877;0.146038;-1.336946;
-1;1;0.82;0.61546;0.078886;-1.351657;
-1;1;0.79;0.458062;-0.000837;-1.362634;
-1;1;0.76;0.307743;-0.095024;-1.368333;
-1;1;0.73;0.166022;-0.206262;-1.366545;
-1;1;0.7;0.033942;-0.338025;-1.354204;
0;1;0.7;7.325827;1.213642;2.412653;
0;1;0.7;7.304478;1.088394;2.398532;
1;1;0.72;7.273256;0.952532;2.385328;
1;1;0.74;7.23185;0.806358;2.373003;
1;1;0.76;7.179977;0.650156;2.361519;
1;1;0.78;7.117385;0.48419;2.350848;
1;1;0.8;7.043843;0.308712;2.340964;
1;1;0.82;6.959142;0.123953;2.331847;
1;0;0.84;6.863097;0.132319;2.32348;
1;0;0.86;6.755539;0.139943;2.315856;
1;0;0.88;6.636316;0.14683;2.308969;
1;0;0.9;6.505295;0.152976;2.302823;
1;0;0.92;6.362357;0.158372;2.297427;
1;1;0.94;6.207398;0.155574;2.292798;
1;1;0.96;6.040329;0.144709;2.288964;
1;1;0.98;5.861076;0.125888;2.285962;
1;0;1.0;5.671921;0.129273;2.282577;
1;0;1.0;5.473642;0.133256;2.278595;
1;0;1.0;5.275471;0.13749;2.27436;
1;0;1.0;5.07742;0.142;2.26985;
1;0;1.0;4.879501;0.146814;2.265036;
1;0;1.0;4.681728;0.151964;2.259886;
1;0;1.0;4.484117;0.157485;2.254366;
1;0;1.0;4.286685;0.163418;2.248432;
1;0;1.0;4.089453;0.169811;2.242039;
1;1;1.0;3.892206;0.169457;2.235412;
1;1;1.0;3.694721;0.162092;2.228814;
1;1;1.0;3.496798;0.147405;2.222557;
1;1;1.0;3.29829;0.125026;2.217011;
1;0;1.0;3.099927;0.131109;2.210928;
1;0;1.0;2.901731;0.137811;2.204226;
1;0;1.0;2.703729;0.145229;2.196808;
1;0;1.0;2.505954;0.153485;2.188552;
1;1;1.0;2.308226;0.155329;2.179727;
1;1;1.0;2.110348;0.150426;2.170667;
1;0;1.0;1.912761;0.160716;2.160377;
1;0;1.0;1.715527;0.172502;2.148591;
1;0;1.0;1.518729;0.186132;2.134961;
1;0;1.0;1.322479;0.202069;2.119024;
1;0;1.0;1.126927;0.220942;2.100151;
1;-1;1.0;0.932628;0.251309;2.076765;
1;-1;1.0;0.740414;0.295404;2.046633;
1;-1;1.0;0.551586;0.356459;2.006522;
1;-1;1.0;0.368237;0.439225;1.951681;
1;-1;1.0;0.193797;0.550696;1.875117;
1;-1;1.0;0.033948;0.700829;1.766872;
1;-1;1.0;2.893774;-0.392537;-1.215279;
1;-1;1.0;2.706018;-0.354812;-1.197154;
1;-1;1.0;2.516369;-0.309337;-1.179798;
1;-1;1.0;2.325414;-0.2559;-1.163421;
1;-1;1.0;2.133986;-0.194184;-1.148342;
1;-1;1.0;1.943174;-0.123724;-1.135027;
1;-1;1.0;1.754337;-0.043853;-1.124141;
1;-1;1.0;1.56912;0.04636;-1.116615;
0;0;1.0;1.379622;0.041425;-1.11168;
0;0;1.0;1.185728;0.039726;-1.109981;
-1;1;0.97;0.99184;0.035696;-1.113148;
-1;1;0.94;0.803886;0.023268;-1.115344;
-1;1;0.91;0.621886;0.001081;-1.115453;
-1;1;0.88;0.44597;-0.032696;-1.111906;
-1;1;0.85;0.276458;-0.080605;-1.102439;
-1;1;0.82;0.113985;-0.146291;-1.08371;
-1;1;0.79;12.92833;1.795971;-2.103396;
-1;1;0.76;12.955021;1.741751;-2.114156;
-1;1;0.73;12.973478;1.677621;-2.124569;
0;1;0.73;12.983415;1.60397;-2.135023;
