[mass=10.0;maxForwardSpeed=10.0;maxBackwardSpeed=0.0;turnRange=0.349066;brakePower=0.3;enginePower=0.2;steeringPower=0.2]
1;0;1.0;4.892716;0.14061;2.243527;
1;0;1.0;4.694758;0.145532;2.238605;
1;0;1.0;4.496949;0.150808;2.233329;
1;1;1.0;4.299092;0.149237;2.227919;
1;1;1.0;4.10099;0.140562;2.222631;
1;0;1.0;3.903043;0.146277;2.216917;
1;0;1.0;3.705269;0.152472;2.210721;
1;0;1.0;3.507692;0.159211;2.203982;
1;1;1.0;3.310111;0.159266;2.196946;
1;1;1.0;3.112321;0.152346;2.189904;
1;1;1.0;2.914133;0.138097;2.183209;
1;0;1.0;2.716139;0.145505;2.1758;
1;0;1.0;2.518372;0.153747;2.167558;
1;0;1.0;2.320872;0.16297;2.158335;
1;0;1.0;2.123691;0.173359;2.147946;
1;0;1.0;1.926892;0.185146;2.136159;
1;0;1.0;1.730558;0.19863;2.122675;
1;0;1.0;1.534798;0.2142;2.107105;
1;0;1.0;1.339755;0.232371;2.088934;
1;0;1.0;1.145624;0.253838;2.067467;
1;-1;1.0;0.95307;0.28723;2.041057;
1;-1;1.0;0.763072;0.334851;2.007398;
1;-1;1.0;0.577137;0.399983;1.963211;
1;-1;1.0;0.397636;0.487324;1.903794;
1;-1;1.0;0.228353;0.603537;1.822488;
1;-1;1.0;0.075335;0.757539;1.710374;
1;-1;1.0;2.855501;-0.37641;-1.231194;
1;-1;1.0;2.666639;-0.338048;-1.213705;
1;-1;1.0;2.475946;-0.291855;-1.197066;
1;-1;1.0;2.284022;-0.237604;-1.181505;
1;-1;1.0;2.091716;-0.174956;-1.167358;
1;0;1.0;1.896053;-0.187822;-1.154492;
1;0;1.0;1.699829;-0.201654;-1.14066;
1;0;1.0;1.504202;-0.217651;-1.124663;
1;0;1.0;1.309324;-0.236354;-1.10596;
0;1;1.0;1.115765;-0.266113;-1.083183;
0;1;1.0;0.924353;-0.308809;-1.054449;
-1;1;0.97;0.741953;-0.366062;-1.018356;
-1;1;0.94;0.570069;-0.440703;-0.972302;
-1;1;0.91;0.410857;-0.536217;-0.913046;
-1;1;0.88;0.26736;-0.656635;-0.83682;
-1;1;0.85;0.143701;-0.805973;-0.739888;
-1;1;0.82;0.044952;-0.986732;-0.620048;
-1;1;0.79;12.521296;1.431764;-2.129931;
-1;1;0.76;12.491393;1.363828;-2.140936;
-1;1;0.73;12.453233;1.28571;-2.151325;
-1;1;0.7;12.406552;1.196931;-2.161024;
0;1;0.7;12.351094;1.09777;-2.170315;
1;1;0.72;12.286715;0.988612;-2.179306;
1;1;0.74;12.213217;0.869498;-2.187775;
1;1;0.76;12.130356;0.740557;-2.195602;
1;1;0.78;12.037918;0.602028;-2.202792;
1;1;0.8;11.93571;0.454139;-2.209349;
1;1;0.82;11.823556;0.297103;-2.215272;
1;1;0.84;11.7013;0.13112;-2.220559;
1;1;0.86;11.568802;-0.043623;-2.225205;
1;0;0.88;11.425941;-0.039627;-2.2292;
1;0;0.9;11.27261;-0.036295;-2.232533;
1;0;0.92;11.108723;-0.033642;-2.235186;
1;1;0.94;10.934208;-0.039116;-2.237138;
1;1;0.96;10.749014;-0.052589;-2.238365;
1;0;0.98;10.554462;-0.052129;-2.238825;
1;0;1.0;10.3552;-0.052505;-2.238449;
1;0;1.0;10.155481;-0.053445;-2.237508;
1;0;1.0;9.955772;-0.054421;-2.236533;
1;0;1.0;9.756073;-0.055432;-2.235522;
1;0;1.0;9.556386;-0.056482;-2.234472;
1;0;1.0;9.356711;-0.057572;-2.233382;
1;0;1.0;9.157049;-0.058705;-2.232249;
1;0;1.0;8.957401;-0.059883;-2.23107;
1;0;1.0;8.757766;-0.06111;-2.229844;
1;0;1.0;8.558148;-0.062388;-2.228566;
1;0;1.0;8.358545;-0.06372;-2.227233;
1;-1;1.0;8.158874;-0.057977;-2.225995;
1;-1;1.0;7.959072;-0.044997;-2.225013;
1;-1;1.0;7.759131;-0.024602;-2.224464;
1;0;1.0;7.559193;-0.025177;-2.223889;
1;0;1.0;7.359258;-0.025779;-2.223286;
1;0;1.0;7.159326;-0.026411;-2.222655;
1;0;1.0;6.959397;-0.027075;-2.221991;
1;0;1.0;6.759473;-0.027772;-2.221293;
1;0;1.0;6.559552;-0.028507;-2.220559;
1;0;1.0;6.359635;-0.029282;-2.219784;
1;0;1.0;6.159723;-0.030099;-2.218966;
1;0;1.0;5.959817;-0.030964;-2.218101;
1;0;1.0;5.759915;-0.03188;-2.217185;
1;0;1.0;5.56002;-0.032852;-2.216214;
1;0;1.0;5.360131;-0.033885;-2.215181;
1;0;1.0;5.16025;-0.034985;-2.214081;
1;0;1.0;4.960376;-0.036158;-2.212907;
1;0;1.0;4.760512;-0.037414;-2.211652;
1;0;1.0;4.560657;-0.038759;-2.210307;
1;0;1.0;4.360812;-0.040205;-2.208861;
1;0;1.0;4.16098;-0.041762;-2.207304;
1;0;1.0;3.961162;-0.043445;-2.20562;
1;0;1.0;3.761358;-0.04527;-2.203796;
1;0;1.0;3.561572;-0.047254;-2.201812;
1;0;1.0;3.361806;-0.04942;-2.199646;
1;0;1.0;3.162062;-0.051793;-2.197272;
1;0;1.0;2.962343;-0.054407;-2.194659;
1;0;1.0;2.762655;-0.057297;-2.191769;
1;0;1.0;2.563002;-0.060512;-2.188554;
1;0;1.0;2.363389;-0.064108;-2.184958;
1;0;1.0;2.163826;-0.068157;-2.180908;
1;0;1.0;1.964322;-0.072752;-2.176313;
1;0;1.0;1.764889;-0.07801;-2.171055;
1;0;1.0;1.565545;-0.084086;-2.16498;
1;0;1.0;1.366311;-0.091184;-2.157882;
1;0;1.0;1.167218;-0.099587;-2.149478;
1;1;1.0;0.968468;-0.117376;-2.138671;
