[mass=10.0;maxForwardSpeed=10.0;maxBackwardSpeed=0.0;turnRange=0.349066;brakePower=0.3;enginePower=0.2;steeringPower=0.2]
1;0;0.02;7.806902;0.0;2.417675;
0;0;0.02;7.802902;0.0;2.417675;
0;0;0.02;7.798902;0.0;2.417675;
1;0;0.04;7.790902;0.0;2.417675;
1;0;0.06;7.778902;0.0;2.417675;
1;0;0.08;7.762902;0.0;2.417675;
1;0;0.1;7.742902;0.0;2.417675;
1;0;0.12;7.718902;0.0;2.417675;
1;0;0.14;7.690902;0.0;2.417675;
1;0;0.16;7.658902;0.0;2.417675;
1;0;0.18;7.622902;0.0;2.417675;
1;0;0.2;7.582902;0.0;2.417675;
1;0;0.22;7.538902;0.0;2.417675;
1;0;0.24;7.490902;0.0;2.417675;
1;0;0.26;7.438902;0.0;2.417675;
1;0;0.28;7.382902;0.0;2.417675;
1;0;0.3;7.322902;0.0;2.417675;
1;0;0.32;7.258902;0.0;2.417675;
1;0;0.34;7.190902;0.0;2.417675;
1;0;0.36;7.118902;0.0;2.417675;
1;-1;0.38;7.042915;0.018545;2.417502;
1;-1;0.4;6.963035;0.054917;2.416956;
1;0;0.42;6.879163;0.055502;2.41637;
1;0;0.44;6.7913;0.056128;2.415744;
1;0;0.46;6.699446;0.056799;2.415074;
1;0;0.48;6.603603;0.057515;2.414357;
1;0;0.5;6.503771;0.058281;2.413591;
1;0;0.52;6.39995;0.0591;2.412772;
1;-1;0.54;6.292234;0.073094;2.411706;
1;-1;0.56;6.180785;0.100023;2.410173;
1;0;0.58;6.065374;0.101662;2.408533;
1;0;0.6;5.946005;0.103416;2.40678;
1;0;0.62;5.822679;0.105292;2.404904;
1;0;0.64;5.695402;0.107301;2.402894;
1;0;0.66;5.564176;0.109455;2.400741;
1;0;0.68;5.429007;0.111766;2.39843;
1;0;0.7;5.2899;0.114248;2.395948;
1;0;0.72;5.14686;0.116919;2.393277;
1;0;0.74;4.999896;0.119796;2.390399;
1;0;0.76;4.849013;0.122902;2.387294;
1;0;0.78;4.694222;0.12626;2.383935;
1;0;0.8;4.535532;0.1299;2.380295;
1;0;0.82;4.372956;0.133854;2.376341;
1;0;0.84;4.206507;0.13816;2.372035;
1;0;0.86;4.036202;0.142864;2.367332;
1;0;0.88;3.86206;0.148018;2.362178;
1;0;0.9;3.684103;0.153685;2.35651;
1;0;0.92;3.50236;0.159941;2.350254;
1;0;0.94;3.316863;0.166877;2.343319;
1;0;0.96;3.127654;0.174604;2.335592;
1;0;0.98;2.934781;0.183257;2.326939;
1;0;1.0;2.738308;0.193007;2.317189;
1;0;1.0;2.542229;0.203837;2.306359;
1;0;1.0;2.346614;0.215934;2.294261;
1;0;1.0;2.15155;0.229532;2.280664;
1;0;1.0;1.957146;0.244921;2.265275;
1;0;1.0;1.76354;0.26247;2.247726;
1;0;1.0;1.570913;0.282656;2.22754;
1;0;1.0;1.379504;0.306101;2.204095;
1;0;1.0;1.18963;0.333629;2.176567;
1;0;1.0;1.00173;0.366354;2.143842;
1;0;1.0;0.816415;0.405806;2.10439;
1;0;1.0;0.634566;0.454126;2.05607;
1;0;1.0;0.45748;0.514359;1.995837;
1;0;1.0;0.287125;0.590879;1.919316;
1;0;1.0;0.126558;0.689943;1.820253;
1;-1;1.0;7.979825;-0.515651;-1.07034;
1;-1;1.0;7.804996;-0.512612;-1.059417;
1;-1;1.0;7.629203;-0.50261;-1.048475;
1;-1;1.0;7.45181;-0.485501;-1.037659;
1;-1;1.0;7.272231;-0.461124;-1.027129;
1;-1;1.0;7.089961;-0.429299;-1.017066;
1;-1;1.0;6.904609;-0.389825;-1.007671;
1;-1;1.0;6.716307;-0.342614;-0.999032;
1;-1;1.0;6.525499;-0.287589;-0.991224;
1;-1;1.0;6.332887;-0.224653;-0.984347;
1;-1;1.0;6.139453;-0.153678;-0.978528;
1;-1;1.0;5.946478;-0.074502;-0.973928;
1;-1;1.0;5.755557;0.013075;-0.970748;
1;-1;1.0;5.568612;0.109292;-0.969227;
1;0;1.0;5.378206;0.109152;-0.969087;
1;0;1.0;5.184335;0.11052;-0.970454;
1;0;1.0;4.987039;0.113544;-0.973479;
1;0;1.0;4.788372;0.117459;-0.977393;
1;0;1.0;4.589799;0.121652;-0.981586;
1;0;1.0;4.391331;0.126153;-0.986088;
1;0;1.0;4.192982;0.130999;-0.990934;
1;0;1.0;3.994764;0.13623;-0.996164;
1;0;1.0;3.796694;0.141892;-1.001827;
1;0;1.0;3.598791;0.148042;-1.007977;
1;0;1.0;3.401077;0.154746;-1.01468;
1;0;1.0;3.20358;0.162079;-1.022013;
1;0;1.0;3.006331;0.170135;-1.030069;
1;0;1.0;2.809369;0.179024;-1.038959;
1;0;1.0;2.612741;0.188882;-1.048817;
1;0;1.0;2.416505;0.199874;-1.059808;
1;0;1.0;2.220731;0.212203;-1.072138;
1;0;1.0;2.025511;0.226126;-1.086061;
1;0;1.0;1.830957;0.241966;-1.101901;
1;1;1.0;1.636865;0.252646;-1.119562;
0;1;1.0;1.442992;0.258039;-1.138918;
-1;1;0.97;1.25487;0.257071;-1.159109;
-1;1;0.94;1.072193;0.249035;-1.17966;
-1;1;0.91;0.894687;0.233063;-1.199947;
-1;1;0.88;0.722134;0.20806;-1.219136;
-1;1;0.85;0.554379;0.17286;-1.236341;
-1;1;0.82;0.391404;0.126296;-1.250696;
-1;1;0.79;0.233451;0.066785;-1.260941;
-1;1;0.76;0.081069;-0.007922;-1.265176;
