[mass=10.0;maxForwardSpeed=10.0;maxBackwardSpeed=0.0;turnRange=0.349066;brakePower=0.3;enginePower=0.2;steeringPower=0.2]
1;-1;1.0;4.687131;0.00308;2.239128;
1;-1;1.0;4.487281;0.039371;2.237744;
1;0;1.0;4.287442;0.04086;2.236255;
1;0;1.0;4.087615;0.042465;2.234649;
1;0;1.0;3.887803;0.044203;2.232912;
1;0;1.0;3.688006;0.046088;2.231027;
1;-1;1.0;3.488301;0.055433;2.228663;
1;-1;1.0;3.288804;0.072629;2.22543;
1;-1;1.0;3.089722;0.098142;2.220861;
1;-1;1.0;2.89139;0.13253;2.214398;
1;0;1.0;2.693239;0.139686;2.207242;
1;0;1.0;2.495298;0.147652;2.199276;
1;0;1.0;2.297605;0.156575;2.190353;
1;0;1.0;2.100209;0.166635;2.180293;
1;0;1.0;1.903168;0.178062;2.168866;
1;0;1.0;1.706563;0.191151;2.155777;
1;0;1.0;1.510493;0.206287;2.140641;
1;0;1.0;1.315096;0.223983;2.122945;
1;-1;1.0;1.120901;0.252552;2.101357;
1;-1;1.0;0.928681;0.293829;2.074043;
1;-1;1.0;0.73961;0.350375;2.038441;
1;-1;1.0;0.555506;0.425806;1.990935;
1;-1;1.0;0.379228;0.525227;1.926421;
1;-1;1.0;0.215296;0.655637;1.837899;
1;-1;1.0;0.070773;0.825773;1.716632;
1;-1;1.0;2.855;-0.292991;-1.23314;
1;-1;1.0;2.661828;-0.243571;-1.219728;
1;-1;1.0;2.467673;-0.185764;-1.207722;
1;-1;1.0;2.273474;-0.119188;-1.197504;
1;-1;1.0;2.080455;-0.043313;-1.189602;
1;0;1.0;1.883866;-0.049063;-1.183852;
1;0;1.0;1.684124;-0.052718;-1.180198;
1;0;1.0;1.484424;-0.05696;-1.175956;
0;1;1.0;1.284869;-0.069534;-1.170363;
-1;1;0.97;1.091611;-0.091468;-1.162607;
-1;1;0.94;0.90493;-0.124209;-1.151472;
-1;1;0.91;0.725294;-0.169615;-1.135343;
-1;1;0.88;0.553465;-0.230093;-1.112076;
-1;1;0.85;0.390646;-0.30878;-1.078813;
-1;1;0.82;0.238684;-0.409712;-1.031819;
-1;1;0.79;0.099982;-0.537401;-0.966904;
0;1;0.79;12.776806;1.511396;-2.108944;
0;1;0.79;12.760311;1.442336;-2.120333;
1;1;0.81;12.735544;1.364813;-2.131878;
1;1;0.83;12.702609;1.278931;-2.143476;
1;1;0.85;12.661542;1.184747;-2.154984;
1;1;0.87;12.61228;1.082269;-2.166223;
1;1;0.89;12.554641;0.971462;-2.176977;
1;1;0.91;12.488344;0.85235;-2.187098;
1;1;0.93;12.41311;0.725111;-2.196598;
1;1;0.95;12.328684;0.589912;-2.205488;
1;1;0.97;12.234828;0.446912;-2.213774;
1;1;0.99;12.131325;0.296263;-2.221462;
1;1;1.0;12.017976;0.138039;-2.228557;
1;0;1.0;11.894599;0.14454;-2.235058;
1;0;1.0;11.761027;0.150447;-2.240965;
1;0;1.0;11.617112;0.155756;-2.246274;
1;0;1.0;11.462719;0.160458;-2.250976;
1;1;1.0;11.297731;0.157562;-2.255062;
1;1;1.0;11.122043;0.147054;-2.258516;
1;1;1.0;10.93557;0.128915;-2.261321;
1;1;1.0;10.73824;0.103123;-2.263454;
1;1;1.0;10.538915;0.069568;-2.264806;
1;1;1.0;10.339028;0.028199;-2.265325;
1;0;1.0;10.139109;0.028706;-2.265831;
1;0;1.0;9.939193;0.02923;-2.266356;
1;0;1.0;9.73928;0.029775;-2.2669;
1;0;1.0;9.53937;0.03034;-2.267465;
1;0;1.0;9.339464;0.030926;-2.268052;
1;0;1.0;9.139562;0.031536;-2.268662;
1;0;1.0;8.939663;0.032171;-2.269296;
1;0;1.0;8.739769;0.032831;-2.269957;
1;0;1.0;8.539879;0.033519;-2.270645;
1;0;1.0;8.339993;0.034237;-2.271363;
1;-1;1.0;8.140167;0.04212;-2.272264;
1;-1;1.0;7.940488;0.057336;-2.273518;
1;0;1.0;7.740825;0.058648;-2.274829;
1;0;1.0;7.541177;0.06002;-2.276202;
1;0;1.0;7.341545;0.061458;-2.27764;
1;0;1.0;7.141932;0.062967;-2.279149;
1;0;1.0;6.942339;0.064552;-2.280733;
1;0;1.0;6.742766;0.066218;-2.2824;
1;0;1.0;6.543216;0.067972;-2.284154;
1;0;1.0;6.34369;0.069822;-2.286004;
1;0;1.0;6.144191;0.071775;-2.287957;
1;-1;1.0;5.944829;0.081022;-2.290223;
1;-1;1.0;5.745757;0.097797;-2.293035;
1;0;1.0;5.546742;0.10078;-2.296017;
1;0;1.0;5.347789;0.10395;-2.299187;
1;0;1.0;5.148903;0.107325;-2.302562;
1;0;1.0;4.950092;0.110925;-2.306163;
1;0;1.0;4.751364;0.114775;-2.310012;
1;0;1.0;4.552727;0.118899;-2.314137;
1;1;1.0;4.354025;0.11609;-2.318309;
1;1;1.0;4.155108;0.106083;-2.322265;
1;1;1.0;3.955861;0.088571;-2.325696;
1;1;1.0;3.756244;0.063194;-2.328245;
1;1;1.0;3.556328;0.029529;-2.329486;
1;1;1.0;3.356344;-0.012926;-2.328919;
1;0;1.0;3.156361;-0.013548;-2.328297;
1;0;1.0;2.956381;-0.014233;-2.327612;
1;1;1.0;2.756428;-0.022344;-2.326483;
1;1;1.0;2.556567;-0.038348;-2.324442;
1;1;1.0;2.35694;-0.062822;-2.320911;
1;1;1.0;2.157815;-0.096487;-2.315172;
1;1;1.0;1.959655;-0.140247;-2.306318;
1;1;1.0;1.7632;-0.195246;-2.293207;
1;1;1.0;1.569585;-0.262928;-2.274394;
1;0;1.0;1.377026;-0.284799;-2.252524;
1;0;1.0;1.185805;-0.310509;-2.226813;
1;0;1.0;0.996305;-0.341125;-2.196197;
1;1;1.0;0.809588;-0.385817;-2.158487;
1;1;1.0;0.627221;-0.447636;-2.110631;
1;1;1.0;0.451592;-0.530844;-2.048367;
1;1;1.0;0.286387;-0.641286;-1.965849;
1;1;1.0;0.137304;-0.786471;-1.855571;
1;1;1.0;0.012864;-0.97437;-1.70956;
1;1;1.0;2.830504;0.165269;-2.305641;
1;1;1.0;2.631766;0.115432;-2.311655;
1;1;1.0;2.432059;0.055664;-2.314719;
1;0;1.0;2.232388;0.059107;-2.318161;
1;0;1.0;2.03276;0.063002;-2.322057;
1;1;1.0;1.833096;0.059974;-2.326009;
1;1;1.0;1.633323;0.049504;-2.329503;
1;1;1.0;1.433412;0.030908;-2.33185;
1;1;1.0;1.233413;0.003249;-2.332117;
1;1;1.0;1.033523;-0.03477;-2.329004;
1;1;1.0;0.834174;-0.085009;-2.320653;
1;1;1.0;0.636182;-0.150195;-2.304336;
1;1;1.0;0.440993;-0.234445;-2.275937;
1;1;1.0;0.250844;-0.343937;-2.229277;
1;1;1.0;0.068749;-0.487685;-2.155342;
1;1;1.0;5.695643;0.301512;-3.021334;
1;1;1.0;5.499192;0.226172;-3.029769;
1;1;1.0;5.299062;0.142712;-3.037066;
1;1;1.0;5.096431;0.051054;-3.043147;
1;0;1.0;4.894967;0.055864;-3.047957;
1;0;1.0;4.694542;0.059265;-3.051358;
1;0;1.0;4.494906;0.061421;-3.053514;
1;0;1.0;4.295298;0.063739;-3.055832;
1;1;1.0;4.095632;0.058985;-3.058058;
1;1;1.0;3.895843;0.046861;-3.059897;
1;1;1.0;3.695913;0.02702;-3.061001;
1;1;1.0;3.495913;-0.000945;-3.06096;
1;0;1.0;3.295913;-0.000989;-3.060916;
1;0;1.0;3.095913;-0.001038;-3.060868;
1;0;1.0;2.895914;-0.001091;-3.060815;
1;-1;1.0;2.695917;0.006209;-3.061134;
1;-1;1.0;2.49596;0.021326;-3.062288;
1;-1;1.0;2.29615;0.044834;-3.064852;
1;-1;1.0;2.096713;0.077454;-3.069547;
1;-1;1.0;1.898061;0.120099;-3.077285;
1;0;1.0;1.699608;0.128975;-3.086161;
1;0;1.0;1.501401;0.139259;-3.096445;
1;0;1.0;1.303505;0.151311;-3.108497;
1;0;1.0;1.106006;0.165626;-3.122812;
1;0;1.0;0.909027;0.1829;-3.140086;
1;0;1.0;0.71275;0.20414;3.12186;
1;0;1.0;0.517444;0.230862;3.095137;
1;0;1.0;0.323542;0.265445;3.060554;
1;1;1.0;0.131341;0.303664;3.015354;
0;1;1.0;1.930234;0.223216;-1.268591;
0;1;1.0;1.734606;0.216965;-1.283284;
-1;1;0.97;1.544315;0.203137;-1.297597;
-1;1;0.94;1.359157;0.18086;-1.310888;
-1;1;0.91;1.17902;0.149079;-1.322347;
-1;1;0.88;1.003937;0.106491;-1.330932;
-1;1;0.85;0.834143;0.051469;-1.335296;
-1;1;0.82;0.670245;-0.017678;-1.33405;
-1;1;0.79;0.513217;-0.103153;-1.325312;
0;1;0.79;0.358802;-0.207079;-1.306961;
0;1;0.79;0.209388;-0.333101;-1.27535;
0;1;0.79;0.068419;-0.486348;-1.225353;
1;1;0.81;7.471297;1.216831;2.518869;
1;1;0.83;7.424275;1.113208;2.502212;
1;1;0.85;7.367148;1.000757;2.486171;
1;1;0.87;7.299634;0.879718;2.470694;
1;1;0.89;7.221475;0.75032;2.455731;
1;1;0.91;7.132437;0.612783;2.441235;
1;1;0.93;7.032306;0.46732;2.427159;
1;1;0.95;6.920887;0.314135;2.413456;
1;1;0.97;6.798002;0.153426;2.400079;
1;1;0.99;6.663489;-0.014614;2.386982;
1;0;1.0;6.517203;-0.001748;2.374116;
1;0;1.0;6.359008;0.010938;2.36143;
1;0;1.0;6.197052;0.02297;2.349398;
1;0;1.0;6.031906;0.034268;2.338099;
1;0;1.0;5.863326;0.044799;2.327568;
1;0;1.0;5.691085;0.054522;2.317846;
1;0;1.0;5.514969;0.063391;2.308977;
1;0;1.0;5.334781;0.071351;2.301017;
1;0;1.0;5.150345;0.07834;2.294028;
1;0;1.0;4.961502;0.084283;2.288085;
1;0;1.0;4.768114;0.089092;2.283276;
1;0;1.0;4.570068;0.092659;2.279708;
1;1;1.0;4.370829;0.088865;2.276522;
1;1;1.0;4.171411;0.077796;2.273628;
1;1;1.0;3.971747;0.059138;2.271342;
1;1;1.0;3.771849;0.032521;2.270034;
1;0;1.0;3.571959;0.033943;2.268612;
1;0;1.0;3.372079;0.035495;2.267059;
1;0;1.0;3.172211;0.037197;2.265358;
1;0;1.0;2.972357;0.039069;2.263486;
1;0;1.0;2.772517;0.04114;2.261415;
1;0;1.0;2.572696;0.043442;2.259113;
1;0;1.0;2.372896;0.046017;2.256537;
1;0;1.0;2.173121;0.048917;2.253638;
1;0;1.0;1.973376;0.052206;2.250349;
1;0;1.0;1.773669;0.055968;2.246586;
1;0;1.0;1.574006;0.060315;2.24224;
1;-1;1.0;1.374497;0.07296;2.236576;
1;-1;1.0;1.175321;0.094904;2.228594;
1;-1;1.0;0.976797;0.127543;2.216899;
1;-1;1.0;0.779479;0.172873;2.199495;
1;-1;1.0;0.584318;0.233823;2.173451;
1;-1;1.0;0.392936;0.314809;2.134354;
1;-1;1.0;0.208113;0.422599;2.075432;
1;-1;1.0;0.034099;0.567012;1.98687;
